name,stars,address,cadena,tarifa,price,hotel_url,destino
Paradisus Varadero Resort & Spa,5,Punta Francés Matanzas,Meliá,All inclusive,"USD187,39",,Matanzas
Meliá Las Américas,5,Playa de Las Américas Matanzas,Meliá,All inclusive,"USD205,79",,Matanzas
Playa Vista Azul,5,"AV Autopista Sur, km 11, S/N Varadero",Gaviota,TODO INCLUIDO,"USD283,50",,Matanzas
Paradisus Princesa del Mar Resort & Spa,5,"Autopista Sur , Carretera las Morlas, Km 19 1/2 Matanzas",Meliá,All inclusive,"USD1353,00",,Matanzas
Meliá Marina Varadero,5,"Autopista del Sur y Final, Punta Hicacos Varadero Matanzas",Meliá,,No disponible,,Matanzas
Meliá Marina Varadero Apartments,5,"Autopista del Sur y Final, Punta Hicacos Varadero Matanzas",Meliá,,No disponible,,Matanzas
Hotel Canimao,2,"Carretera vía blanca, KM 4 1/2 Canimar Matanzas",Islazul,,No disponible,,Matanzas
Martí,3,"CL Calixto Garcia Esquina Aguilera, S/N Guantanamo",Islazul,Alojamiento y desayuno,"USD39,00",,Guantanamo
Porto Santo,3,"CL Aeropuerto Street, S/N BARACOA",Gaviota,Alojamiento y desayuno,"USD40,50",,Guantanamo
Baracoa,3,"CL 24 de Febrero esquina Ave. Malecón, S/N BARACOA",Gaviota,Alojamiento y desayuno,"USD40,50",,Guantanamo
Maguana,4,"CR arretera a Moa Km 22, SN Baracoa",Gaviota,Alojamiento y desayuno,"USD52,50",,Guantanamo
Hotel Guantánamo,3,Ahohado y el 13 norte Guantanamo,Islazul,,No disponible,,Guantanamo
Villa La Lupe,2,"Carretera a El Salvador KM 3 y Medio, El Salvador, Guantánamo Guantanamo",Islazul,,No disponible,,Guantanamo
Hotel Faro de Maisí,3,"La Asuncion, Maisí Guantanamo",Islazul,,No disponible,,Guantanamo
Villa Punta de Maisí,2,"Punta de Maisí, Maisí. Guantanamo",Islazul,,No disponible,,Guantanamo
Hotel Caimanera,2,Loma Norte. Caimanera. Guantanamo Guantanamo,Islazul,,No disponible,,Guantanamo
Grand Memories Cayo Largo,5,"CL Cayo Largo del sur, S/N Cayo Largo del sur",BlueDiamond,Todo Incluido,"USD133,77",,Cayo Largo del Sur
Club Amigo Costa Sur,3,"CR Playa María Aguilar,Península Ancón.Trinidad.Sancti Spiritus, S/N SANCTI SPIRITUS",Cubanacan,AI,"USD44,00",,Sancti Spiritus
Club Amigo Ancón,3,"CR María Aguilar, Península Ancón, Trinidad, S/N TRINIDAD",Cubanacan,AI,"USD46,00",,Sancti Spiritus
Cubanacan Las Cuevas,3,"LG Finca Santa Ana, Trinidad, S/N CENTRO HABANA",Cubanacan,Alojamiento y desayuno,"USD48,00",,Sancti Spiritus
E La Calesa,4,"CL José Martí e Camilo Cienfuegos y Lino Pérez, S/N Trinidad",Cubanacan,Alojamiento y desayuno,"USD50,00",,Sancti Spiritus
E La Ronda,4,"CL José Martí e Lino Pérez y Colón, S/N TRINIDAD",Cubanacan,Alojamiento y desayuno,"USD50,00",,Sancti Spiritus
E Mesón del Regidor,3,"CL Simon Bolivar No 426, Trinidad, S/N Trinidad",Cubanacan,Alojamiento y desayuno,"USD87,17",,Sancti Spiritus
Hotel Don Florencio,4,"Independencia Sur No. 13, Sancti Spíritus Sancti Spiritus",Islazul,,No disponible,,Sancti Spiritus
Hotel Rijo,4,"Honorato del Castillo No. 12, Sancti Spiritus Sancti Spiritus",Islazul,,No disponible,,Sancti Spiritus
Villa Los Laureles,3,Carretera Central km 383 Sancti Spiritus,Islazul,,No disponible,,Sancti Spiritus
Villa Rancho Hatuey,3,Carretera Central km 383 Sancti Spiritus,Islazul,,No disponible,,Sancti Spiritus
Villa San José del Lago,3,Avenida Antonio Guiteras S/N Sancti Spiritus,Islazul,,No disponible,,Sancti Spiritus
Hotel Zaza,2,"Finca San José Km 5 ½, Lago Zaza Sancti Spiritus",Islazul,,No disponible,,Sancti Spiritus
Iberostar Grand Trinidad,5,Calle José Martí Nro 262. Esq. Lino Pérez Sancti Spiritus,Iberostar,,No disponible,,Sancti Spiritus
Las Yagrumas,2,"CL 40 y Final Autopista, S/N Artemisa",Islazul,Alojamiento y desayuno,"USD34,00",,Artemisa
Horizontes Soroa,2,"CR Carretera Soroa km 8/12, S/N, municipio Candelaria, S/N CENTRO HABANA",Cubanacan,Alojamiento y desayuno,"USD40,00",,Artemisa
Moka,4,"CR Km 52 ½ Autopista Habana-Pinar del Río, Candelaria, S/N ARTEMISA",Cubanacan,Alojamiento y desayuno,"USD44,00",,Artemisa
Mirador de San Diego,3,"CL Calle 23 final, San Diego de los Baños, 23 Pinar del Río",Islazul,Alojamiento y desayuno,"USD41,00",,Pinar Del Río
Horizontes Rancho San Vicente,3,"CR Puerto Esperanza km. 33, S/N PINAR DEL RIO",Cubanacan,Alojamiento y desayuno,"USD44,00",,Pinar Del Río
Horizontes La Ermita,3,"CR Km 1 ½, Carretera a la Ermita, S/N Viñales",Cubanacan,Alojamiento y desayuno,"USD46,00",,Pinar Del Río
Horizontes Los Caneyes,3,"AV Los Eucaliptos y Circunvalación, S/N Santa Clara",Cubanacan,Alojamiento y desayuno,"USD40,00",,Villa Clara
Horizontes La Granjita,3,"CR Carretera de Malezas, Km.2 ½, Santa Clara, Villa Clara, S/N Santa Clara",Cubanacan,Alojamiento y desayuno,"USD40,00",,Villa Clara
